====================================================================================================
CuteRPG_Interior_B.png Analysis
Image size: (768, 768), Grid: 16x16, Cell size: 48px
====================================================================================================

Col Row |  Transp% |        Class | Dominant Colors
 13  12 |    50.0% |   STANDALONE | #b28759 (olive, 66%), #724c16 (brown, 22%), #cca97a (yellow, 11%)
 14  12 |     0.0% |     autotile |
 15  12 |     0.0% |     autotile |

  0  13 |     0.0% |     autotile |
  1  13 |     0.0% |     autotile |
  2  13 |     0.0% |     autotile |
  3  13 |     0.0% |     autotile |
  4  13 |     0.0% |     autotile |
  5  13 |     0.0% |     autotile |
  6  13 |     0.0% |     autotile |
  7  13 |     0.0% |     autotile |
  8  13 |     0.0% |     autotile |
  9  13 |     0.0% |     autotile |
 10  13 |     0.0% |     autotile |
 11  13 |     0.0% |     autotile |
 12  13 |     0.0% |     autotile |
 13  13 |     0.0% |     autotile |
 14  13 |     0.0% |     autotile |
 15  13 |     0.0% |     autotile |

  0  14 |     0.0% |     autotile |
  1  14 |     0.0% |     autotile |
  2  14 |     0.0% |     autotile |
  3  14 |     0.0% |     autotile |
  4  14 |    50.0% |   STANDALONE | #b1bac9 (light gray, 77%), #545472 (blue, 23%)
  5  14 |    50.0% |   STANDALONE | #b1bac9 (light gray, 77%), #545472 (blue, 23%)
  6  14 |    50.0% |   STANDALONE | #b1bac9 (light gray, 77%), #545472 (blue, 23%)
  7  14 |    50.0% |   STANDALONE | #b1bac9 (light gray, 77%), #545472 (blue, 23%)
  8  14 |    50.0% |   STANDALONE | #b28759 (olive, 77%), #724c16 (brown, 23%)
  9  14 |    50.0% |   STANDALONE | #b28759 (olive, 77%), #724c16 (brown, 23%)
 10  14 |    50.0% |   STANDALONE | #b28759 (olive, 66%), #724c16 (brown, 22%), #cca97a (yellow, 11%)
 11  14 |    50.0% |   STANDALONE | #b28759 (olive, 77%), #724c16 (brown, 23%)
 12  14 |    50.0% |   STANDALONE | #b28759 (olive, 77%), #724c16 (brown, 23%)
 13  14 |    50.0% |   STANDALONE | #b28759 (olive, 66%), #724c16 (brown, 22%), #cca97a (yellow, 11%)
 14  14 |     0.0% |     autotile |
 15  14 |     0.0% |     autotile |

  0  15 |     0.0% |     autotile |
  1  15 |     0.0% |     autotile |
  2  15 |     0.0% |     autotile |
  3  15 |     0.0% |     autotile |
  4  15 |     0.0% |     autotile |
  5  15 |     0.0% |     autotile |
  6  15 |     0.0% |     autotile |
  7  15 |     0.0% |     autotile |
  8  15 |     0.0% |     autotile |
  9  15 |     0.0% |     autotile |
 10  15 |     0.0% |     autotile |
 11  15 |     0.0% |     autotile |
 12  15 |     0.0% |     autotile |
 13  15 |     0.0% |     autotile |
 14  15 |     0.0% |     autotile |
